Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-19 00:00:00-05:00,66.21766745850319,66.86092175944387,65.53712944410019,66.68379211425781,7750900,0.0,0.0
2016-02-22 00:00:00-05:00,67.38299210352174,68.23134255473475,67.21518691056198,68.11014556884766,7481500,0.0,0.0
2016-02-23 00:00:00-05:00,68.00762885986465,68.16611675186174,67.11266978962716,67.26183319091797,6177000,0.0,0.0
2016-02-24 00:00:00-05:00,66.42279875504418,67.29911584970773,65.61173886237677,66.98214721679688,7728600,0.0,0.0
2016-02-25 00:00:00-05:00,67.08470126949574,68.37120355793512,67.066059401186,68.30594635009766,6840900,0.0,0.0
2016-02-26 00:00:00-05:00,68.74407231479243,68.90256012647639,67.76521466173836,67.80250549316406,6714100,0.0,0.0
2016-02-29 00:00:00-05:00,67.92371606835918,68.89325664350814,67.48555755615234,67.48555755615234,7786100,0.0,0.0
2016-03-01 00:00:00-05:00,68.04490124990906,69.58311462402344,67.96100219382126,69.58311462402344,8705300,0.0,0.0
2016-03-02 00:00:00-05:00,69.45260616204504,69.54582971425899,68.66951978844669,69.26615905761719,5739100,0.0,0.0
2016-03-03 00:00:00-05:00,69.4339776939206,69.4526195629599,68.38985521515775,68.90259552001953,6588300,0.0,0.0
2016-03-04 00:00:00-05:00,69.19157677312144,69.21954312729392,68.6229038632776,68.89325714111328,9475300,0.0,0.0
2016-03-07 00:00:00-05:00,68.4178302777628,68.47376300449787,66.51603933123342,67.06607055664062,16671900,0.0,0.0
2016-03-08 00:00:00-05:00,66.65585695371965,66.67449881917125,65.73293169509154,65.83547973632812,12394400,0.0,0.0
2016-03-09 00:00:00-05:00,66.18972279111057,66.2643044674527,65.16424963515676,65.89140319824219,9291600,0.0,0.0
2016-03-10 00:00:00-05:00,66.32024587282508,66.5626327964996,64.86593855578005,65.46257781982422,10135100,0.0,0.0
2016-03-11 00:00:00-05:00,66.32956273389536,67.13129798635005,65.89140426889101,66.77703857421875,9466400,0.0,0.0
2016-03-14 00:00:00-04:00,66.74907818904421,66.86095071537393,66.14311445163476,66.64653015136719,7916500,0.0,0.0
2016-03-15 00:00:00-04:00,66.35756311586582,67.0381088256836,65.8727961881561,67.0381088256836,6442800,0.0,0.0
2016-03-16 00:00:00-04:00,66.82363409634749,67.89572227782625,66.66515341288925,67.46688842773438,7561800,0.0,0.0
2016-03-17 00:00:00-04:00,67.38301043877684,68.678837015484,67.2804623978143,68.18474578857422,7411700,0.0,0.0
2016-03-18 00:00:00-04:00,68.52033572852343,69.07968398544016,68.17540086571695,68.78136444091797,15026200,0.0,0.0
2016-03-21 00:00:00-04:00,68.59494158453496,68.9305520795464,68.19407388841029,68.77206420898438,7397400,0.0,0.0
2016-03-22 00:00:00-04:00,68.27798135119689,68.6602072279302,67.98898615537573,68.01695251464844,6796800,0.0,0.0
2016-03-23 00:00:00-04:00,68.00762933107852,69.14497538004282,67.8398240597149,68.90259552001953,7287100,0.0,0.0
2016-03-24 00:00:00-04:00,68.66018121545048,69.13563048046572,68.4364433135314,69.11698150634766,6303900,0.0,0.0
2016-03-28 00:00:00-04:00,69.11699838484185,69.23818829620538,68.725455182743,69.06106567382812,7283300,0.0,0.0
2016-03-29 00:00:00-04:00,69.00510459344584,70.4687360182815,68.91188106630646,70.27296447753906,10541500,0.0,0.0
2016-03-30 00:00:00-04:00,70.75774789129663,71.78322105530088,70.7018080773508,71.578125,9691900,0.0,0.0
2016-03-31 00:00:00-04:00,71.42896866286623,71.70863928221955,70.80435601006009,71.29845428466797,7490800,0.0,0.0
2016-04-01 00:00:00-04:00,71.08404074936607,72.94854017885764,70.66453122273082,72.333251953125,10183400,0.0,0.0
2016-04-04 00:00:00-04:00,72.68749067221171,73.00445207085343,72.27729863867644,72.55697631835938,6905800,0.0,0.0
2016-04-05 00:00:00-04:00,71.91372973998604,72.22137379858,71.39167226782631,71.7552490234375,6012000,0.0,0.0
2016-04-06 00:00:00-04:00,71.8578076663563,72.97650444708549,71.7832259843075,72.91124725341797,6220400,0.0,0.0
2016-04-07 00:00:00-04:00,72.44513401015706,72.69684544925364,71.96036722421452,72.32394409179688,7542100,0.0,0.0
2016-04-08 00:00:00-04:00,72.79003114514053,73.29344664895532,72.53831983698409,72.74341583251953,5327500,0.0,0.0
2016-04-11 00:00:00-04:00,73.05109949299278,73.44264272662626,72.50106837788691,72.54768371582031,5957200,0.0,0.0
2016-04-12 00:00:00-04:00,72.4544682740323,73.22823745044761,72.3892110611119,73.20026397705078,5962900,0.0,0.0
2016-04-13 00:00:00-04:00,73.67570119366947,74.51472744343162,73.56383576870225,74.30963134765625,9187300,0.0,0.0
2016-04-14 00:00:00-04:00,74.35623698178513,75.20458049794325,73.93672035538769,74.88761901855469,11470300,0.0,0.0
2016-04-15 00:00:00-04:00,74.81303701342365,75.22322914968437,74.48675104708019,74.65455627441406,7186700,0.0,0.0
2016-04-18 00:00:00-04:00,74.76642761173098,76.0249704727617,74.42149975389395,75.9317398071289,7761200,0.0,0.0
2016-04-19 00:00:00-04:00,75.97836218677439,76.19278278011518,74.92492242493081,75.2791748046875,8324700,0.0,0.0
2016-04-20 00:00:00-04:00,75.40034246675673,76.10885412963049,75.09270551494949,75.65205383300781,8521300,0.0,0.0
2016-04-21 00:00:00-04:00,75.97836383438501,76.13684460409428,75.21391923122624,75.31646728515625,9536900,0.0,0.0
2016-04-22 00:00:00-04:00,72.71546187299079,73.98332177721211,72.04424108693252,73.75025939941406,18216000,0.0,0.0
2016-04-25 00:00:00-04:00,73.3587255533474,73.49855730764259,72.54766581593422,72.84598541259766,11184600,0.0,0.0
2016-04-26 00:00:00-04:00,73.13496728640128,73.36802965138344,72.81800588402504,73.20954895019531,6071800,0.0,0.0
2016-04-27 00:00:00-04:00,73.09770996537016,73.64773393136316,72.87396489318519,73.42399597167969,6319400,0.0,0.0
2016-04-28 00:00:00-04:00,73.04176565251781,73.89943370568369,72.34257834803455,72.41716003417969,8322600,0.0,0.0
2016-04-29 00:00:00-04:00,72.26799441810951,72.72480189718969,71.65271330776807,72.00696563720703,8092700,0.0,0.0
2016-05-02 00:00:00-04:00,72.53836140749748,73.15364974671519,71.93240467114947,73.14432525634766,7636800,0.0,0.0
2016-05-03 00:00:00-04:00,72.18411856511793,73.05111135899394,71.71799356007713,71.96038055419922,7666300,0.0,0.0
2016-05-04 00:00:00-04:00,71.37304606953346,72.1374906602076,71.17727445500127,71.84849548339844,8854000,0.0,0.0
2016-05-05 00:00:00-04:00,71.91374699035305,72.43580458774176,71.79255708024533,72.11884307861328,6002300,0.0,0.0
2016-05-06 00:00:00-04:00,71.99764454226928,72.52902656523112,71.57812792677281,72.4544448852539,6172600,0.0,0.0
2016-05-09 00:00:00-04:00,72.4264867638088,73.05109240147101,72.32393872031186,72.92057800292969,9242300,0.0,0.0
2016-05-10 00:00:00-04:00,73.10703657348796,73.95538740951467,73.09771919534654,73.83419036865234,6802600,0.0,0.0
2016-05-11 00:00:00-04:00,73.90888716103815,74.08633054125698,72.18117261054002,72.19051361083984,8432500,0.14,0.0
2016-05-12 00:00:00-04:00,72.65747610112072,73.02169679805286,71.97572546642147,72.74152374267578,7512800,0.0,0.0
2016-05-13 00:00:00-04:00,72.57342461793037,73.10574774715344,71.75159454345703,71.75159454345703,7562700,0.0,0.0
2016-05-16 00:00:00-04:00,71.92898447376398,72.90024145852263,71.87295274630813,72.65743255615234,8597900,0.0,0.0
2016-05-17 00:00:00-04:00,72.44266707508758,72.76953085022352,71.46206862458389,71.71422576904297,7169900,0.0,0.0
2016-05-18 00:00:00-04:00,71.63950306881091,72.73216489145493,71.34999620770738,72.3119125366211,6288500,0.0,0.0
2016-05-19 00:00:00-04:00,71.78893730383832,72.14381694513594,71.18190052588277,71.79827117919922,5552200,0.0,0.0
2016-05-20 00:00:00-04:00,72.22787521334597,72.8816099647859,72.07845480950898,72.53606414794922,6302100,0.0,0.0
2016-05-23 00:00:00-04:00,72.62012409103271,72.8349172728157,72.04110306278366,72.10647583007812,5934300,0.0,0.0
2016-05-24 00:00:00-04:00,72.52672309649364,74.24509675866057,72.52672309649364,74.13302612304688,7582300,0.0,0.0
2016-05-25 00:00:00-04:00,74.24510897508644,74.40387039117336,73.73146071704382,73.83419036865234,5846700,0.0,0.0
2016-05-26 00:00:00-04:00,74.15171415648936,74.15171415648936,73.65674794451893,73.77815246582031,4284000,0.0,0.0
2016-05-27 00:00:00-04:00,73.62874095751269,74.39454650878906,73.62874095751269,74.39454650878906,4374600,0.0,0.0
2016-05-31 00:00:00-04:00,74.58127823743473,74.59061923542461,73.55398933645587,73.72209167480469,8639600,0.0,0.0
2016-06-01 00:00:00-04:00,73.48862311145508,74.07697778525444,73.37655250092901,73.98358917236328,4507000,0.0,0.0
2016-06-02 00:00:00-04:00,74.0302689017907,74.66532135009766,73.71274624018393,74.66532135009766,5627500,0.0,0.0
2016-06-03 00:00:00-04:00,74.29177006169905,74.89879954311473,73.92754952281217,74.65599060058594,7628000,0.0,0.0
2016-06-06 00:00:00-04:00,74.98286401120298,75.55254382551591,74.87079339810886,75.21633911132812,7620100,0.0,0.0
2016-06-07 00:00:00-04:00,75.36577327569255,75.64594629720203,75.21635288929116,75.27238464355469,5515700,0.0,0.0
2016-06-08 00:00:00-04:00,75.27238464308061,76.30901484752489,75.15098013381176,76.25298309326172,8860900,0.0,0.0
2016-06-09 00:00:00-04:00,75.86074755023827,76.1502544511593,75.62727240430944,75.88876342773438,6670900,0.0,0.0
2016-06-10 00:00:00-04:00,75.41244984348702,75.41244984348702,74.56259714347202,74.880126953125,7859900,0.0,0.0
2016-06-13 00:00:00-04:00,73.77815054332673,74.88015358328154,73.19912958162287,73.21781158447266,10424600,0.0,0.0
2016-06-14 00:00:00-04:00,72.95633439640936,73.54468934614331,72.80690684562741,73.3765869140625,7891700,0.0,0.0
2016-06-15 00:00:00-04:00,73.37659064045717,73.62874073883481,72.89096532594913,73.0030288696289,7424000,0.0,0.0
2016-06-16 00:00:00-04:00,72.7415110462935,73.32986580977713,72.0410856552006,73.17110443115234,9650800,0.0,0.0
2016-06-17 00:00:00-04:00,73.14309817283574,73.15243917430527,71.75158820792683,71.90100860595703,14602200,0.0,0.0
2016-06-20 00:00:00-04:00,73.12440250129926,73.19910911652252,72.20917699514358,72.22785186767578,9957500,0.0,0.0
2016-06-21 00:00:00-04:00,72.66679700602467,72.85358138463178,72.05042636935994,72.2185287475586,9201000,0.0,0.0
2016-06-22 00:00:00-04:00,72.45198794860039,72.62009028984214,71.47138977050781,71.47138977050781,9626700,0.0,0.0
2016-06-23 00:00:00-04:00,72.62010948141987,73.06837775980074,71.7889385537052,73.05904388427734,13566200,0.0,0.0
2016-06-24 00:00:00-04:00,69.85577348798209,71.01380833240755,69.52890255096247,70.08924865722656,18375000,0.0,0.0
2016-06-27 00:00:00-04:00,69.27675940459628,69.65032113762112,68.40823140347995,68.49227905273438,16318400,0.0,0.0
2016-06-28 00:00:00-04:00,70.07988495643394,70.50947827368614,69.56623690042893,70.19195556640625,14815200,0.0,0.0
2016-06-29 00:00:00-04:00,70.95778206453154,71.68622350894611,70.70562487217434,71.66754150390625,12178100,0.0,0.0
2016-06-30 00:00:00-04:00,71.90101777536056,72.04110431488267,68.92187918533732,69.26741790771484,24877300,0.0,0.0
2016-07-01 00:00:00-04:00,69.57558252749907,70.92040143624887,69.20202092783579,69.5569076538086,13821400,0.0,0.0
2016-07-05 00:00:00-04:00,69.3421080057455,70.0145174658164,68.94987152906911,69.73434448242188,11081000,0.0,0.0
