Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-02-19 00:00:00-05:00,162.02395837725877,162.87996773805935,161.413729528945,162.7274169921875,114793000,0.0,0.0,0.0
2016-02-22 00:00:00-05:00,164.31224838495427,165.2275913136689,164.24444376811522,165.08351135253906,103640300,0.0,0.0,0.0
2016-02-23 00:00:00-05:00,164.42245453861685,164.69367304231983,162.87992839672864,162.99859619140625,111455300,0.0,0.0,0.0
2016-02-24 00:00:00-05:00,161.56626338930866,164.02411979021895,160.45599005788205,163.7444305419922,150812200,0.0,0.0,0.0
2016-02-25 00:00:00-05:00,164.19364885823586,165.73617531310902,163.43086929351767,165.72769165039062,110728300,0.0,0.0,0.0
2016-02-26 00:00:00-05:00,166.60057237832814,166.69378915525647,165.1851723550624,165.34620666503906,129833700,0.0,0.0,0.0
2016-02-29 00:00:00-05:00,165.36320174995046,166.31244052778382,163.85458457843313,164.0495147705078,125918100,0.0,0.0,0.0
2016-03-01 00:00:00-05:00,165.2784637203747,167.99059702821924,164.80384427122493,167.9058380126953,141799700,0.0,0.0,0.0
2016-03-02 00:00:00-05:00,167.5922624289091,168.71100648923135,167.17696392116832,168.66015625,102415000,0.0,0.0,0.0
2016-03-03 00:00:00-05:00,168.48219068480986,169.33821293780434,167.90587065093197,169.32125854492188,95172200,0.0,0.0,0.0
2016-03-04 00:00:00-05:00,169.5161515111126,170.65186280098837,168.6855674963519,169.8721160888672,129293600,0.0,0.0,0.0
2016-03-07 00:00:00-05:00,168.94826764232604,170.41451809136737,168.87199230541373,170.0076904296875,100219000,0.0,0.0,0.0
2016-03-08 00:00:00-05:00,168.9314040157377,169.43991942849996,167.99063562985262,168.1516571044922,123974900,0.0,0.0,0.0
2016-03-09 00:00:00-05:00,168.96528437760318,169.32971974337983,168.1770668080957,168.98223876953125,94801200,0.0,0.0,0.0
2016-03-10 00:00:00-05:00,169.47377534157206,170.4145434339482,167.2871248313894,169.1177978515625,156838700,0.0,0.0,0.0
2016-03-11 00:00:00-05:00,170.5755553300917,171.88924229487964,169.10084694989558,171.84686279296875,137964500,0.0,0.0,0.0
2016-03-14 00:00:00-04:00,171.33835069371824,172.08417562484442,171.0078112646351,171.6265106201172,73612000,0.0,0.0,0.0
2016-03-15 00:00:00-04:00,170.6603586539173,171.65197718059292,170.3976237792099,171.34686279296875,93169100,0.0,0.0,0.0
2016-03-16 00:00:00-04:00,170.86373153230812,172.74526764883407,170.82135202956667,172.33843994140625,129303200,0.0,0.0,0.0
2016-03-17 00:00:00-04:00,172.25370015637145,173.94029320833664,171.8553560943957,173.43177795410156,134278500,0.0,0.0,0.0
2016-03-18 00:00:00-04:00,173.93443549398214,174.45410103134813,173.619233003799,174.11334228515625,138372400,1.05,0.0,0.0
2016-03-21 00:00:00-04:00,173.84928962743084,174.59044720901548,173.61927027486067,174.3604278564453,72926700,0.0,0.0,0.0
2016-03-22 00:00:00-04:00,173.58514737263252,174.8374558993936,173.42329541943957,174.2666778564453,97471900,0.0,0.0,0.0
2016-03-23 00:00:00-04:00,173.8833060108832,174.0707272027302,172.94620005164808,173.11659240722656,81052500,0.0,0.0,0.0
2016-03-24 00:00:00-04:00,172.08578216169988,173.07400066419757,171.86429029008303,173.0399169921875,84360900,0.0,0.0,0.0
2016-03-28 00:00:00-04:00,173.45732276922877,173.6703001797799,172.6906092908885,173.14212036132812,62408200,0.0,0.0,0.0
2016-03-29 00:00:00-04:00,172.73319088515476,174.85445053108205,172.42650290019068,174.7436981201172,92922900,0.0,0.0,0.0
2016-03-30 00:00:00-04:00,175.74898596320978,176.2345677665276,175.14412431442966,175.5104522705078,86365300,0.0,0.0,0.0
2016-03-31 00:00:00-04:00,175.4167321832576,175.84268703990244,174.92262298965633,175.08448791503906,94584100,0.0,0.0,0.0
2016-04-01 00:00:00-04:00,174.08775938712822,176.46458182598812,173.77254394607206,176.27716064453125,114423500,0.0,0.0,0.0
2016-04-04 00:00:00-04:00,176.20051490994678,176.40497795255345,175.39971757529472,175.70640563964844,63497000,0.0,0.0,0.0
2016-04-05 00:00:00-04:00,174.3603442614002,175.71487746767957,173.69585578288167,173.95143127441406,99662200,0.0,0.0,0.0
2016-04-06 00:00:00-04:00,173.9515167937385,175.91091252663344,173.77260996197748,175.8512725830078,91839800,0.0,0.0,0.0
2016-04-07 00:00:00-04:00,174.76073802339323,175.11853850205043,173.01432071159965,173.74696350097656,113859000,0.0,0.0,0.0
2016-04-08 00:00:00-04:00,174.9311160888878,175.36559830914754,173.67880792303743,174.21551513671875,95040600,0.0,0.0,0.0
2016-04-11 00:00:00-04:00,174.8544860367723,175.55305831069512,173.712930027257,173.806640625,83757500,0.0,0.0,0.0
2016-04-12 00:00:00-04:00,173.97703354036454,175.70640952509464,173.5340367711436,175.42527770996094,115350600,0.0,0.0,0.0
2016-04-13 00:00:00-04:00,176.34534050868106,177.28244655160904,176.20903181168921,177.19725036621094,96336400,0.0,0.0,0.0
2016-04-14 00:00:00-04:00,177.2568292284447,177.70834025745486,176.85643069341933,177.20570373535156,65212900,0.0,0.0,0.0
2016-04-15 00:00:00-04:00,177.2057317335134,177.3420404050816,176.68606629738127,177.00979614257812,75761600,0.0,0.0,0.0
2016-04-18 00:00:00-04:00,177.00976166052985,178.28762595955135,176.3452732649673,178.25355529785156,82531000,0.0,0.0,0.0
2016-04-19 00:00:00-04:00,178.6795917429608,179.07146302762754,177.99806120545034,178.81588745117188,88316100,0.0,0.0,0.0
2016-04-20 00:00:00-04:00,178.8584270674755,179.68478046166612,178.3813597469344,178.98622131347656,81100300,0.0,0.0,0.0
2016-04-21 00:00:00-04:00,179.0032811480208,179.11403358058067,177.75097271516222,178.02359008789062,85695000,0.0,0.0,0.0
2016-04-22 00:00:00-04:00,177.66578953551843,178.29619446150724,177.1205677891734,178.02359008789062,99251700,0.0,0.0,0.0
2016-04-25 00:00:00-04:00,177.41869959085773,177.75947125140206,176.80532360098758,177.7168731689453,66166500,0.0,0.0,0.0
2016-04-26 00:00:00-04:00,178.08321256148966,178.49213861035878,177.50392015759232,177.98098754882812,75864200,0.0,0.0,0.0
2016-04-27 00:00:00-04:00,177.5976205836273,178.73917649002462,177.23982006068684,178.34730529785156,77329400,0.0,0.0,0.0
2016-04-28 00:00:00-04:00,177.589105346594,178.69657757953746,176.3112407709417,176.72866821289062,97216200,0.0,0.0,0.0
2016-04-29 00:00:00-04:00,176.1067804075141,176.45606651656496,174.66705088410362,175.7745361328125,142424100,0.0,0.0,0.0
2016-05-02 00:00:00-04:00,176.27715359198956,177.3505551344796,175.84268432460058,177.17166137695312,62188000,0.0,0.0,0.0
2016-05-03 00:00:00-04:00,175.93640299191867,176.17493667898285,174.88003023555515,175.6297149658203,106422100,0.0,0.0,0.0
2016-05-04 00:00:00-04:00,174.63298032002473,175.36562320815685,174.1473855341078,174.65000915527344,92243800,0.0,0.0,0.0
2016-05-05 00:00:00-04:00,175.1185292886901,175.47632974852266,174.18995097633118,174.61590576171875,67619200,0.0,0.0,0.0
2016-05-06 00:00:00-04:00,173.8406943074764,175.29746563926946,173.68735679839853,175.25486755371094,89315000,0.0,0.0,0.0
2016-05-09 00:00:00-04:00,175.127084374519,175.8341579907671,174.9481776167806,175.39968872070312,74374900,0.0,0.0,0.0
2016-05-10 00:00:00-04:00,176.1067663310547,177.5976082392371,176.03861199821603,177.58056640625,77472200,0.0,0.0,0.0
2016-05-11 00:00:00-04:00,177.12059921454232,177.65729363876696,175.91940307617188,175.91940307617188,81727000,0.0,0.0,0.0
2016-05-12 00:00:00-04:00,176.5923494024132,176.76274173534193,174.95668439935457,175.970458984375,89586300,0.0,0.0,0.0
2016-05-13 00:00:00-04:00,175.672306452345,176.22604256241553,174.1133101281779,174.43702697753906,96474600,0.0,0.0,0.0
2016-05-16 00:00:00-04:00,174.60741383148715,176.63495003164277,174.54777391428047,176.1578826904297,77486800,0.0,0.0,0.0
2016-05-17 00:00:00-04:00,175.88532362755066,176.1749698736876,173.98555519168647,174.5137481689453,114924900,0.0,0.0,0.0
2016-05-18 00:00:00-04:00,174.164405514161,175.7489579338896,173.47436079895985,174.56480407714844,120062100,0.0,0.0,0.0
